구별,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호,데이터기준일자
수정구,위드본의원,의원,"경기도 성남시 수정구 위례서일로 46, 위례엘포트한라비발디 309,310호 (창곡동)",031-754-8275,2026-03-04
수정구,1퍼센트 치과의원,치과의원,"경기도 성남시 수정구 수정로 286, 정인빌딩 2층, 3층일부호 (신흥동)",031-778-6868,2026-03-04
수정구,위례밝은성모안과의원,의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 B동 301호 (창곡동)",031-752-9881,2026-03-04
수정구,세목한의원,한의원,"경기도 성남시 수정구 수정로 200, 1층 일부호 (신흥동)",031-751-1679,2026-03-04
수정구,위례아이조아패밀리한의원,한의원,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 3층 305호 (창곡동)",031-778-8075,2026-03-04
수정구,산성바른한의원,한의원,"경기도 성남시 수정구 수정로 350, 2층 일부호 (산성동)",031-749-0075,2026-03-04
수정구,금빛여성의원,의원,"경기도 성남시 수정구 수정로171번길 7-1, 우일프라자 2층일부, 3~6층, 8층, 9층일부 (태평동)",031-757-8500,2026-03-04
수정구,서울박사치과의원,치과의원,"경기도 성남시 수정구 수정로 326, 3층 (산성동)",031-747-2884,2026-03-04
수정구,금토정성치과의원,치과의원,"경기도 성남시 수정구 금토로80번길 51, 2층 203호 (금토동)",031-709-2888,2026-03-04
수정구,보아스이비인후과의원,의원,"경기도 성남시 수정구 위례광장로 5, 남위례역아이파크 309,310일부호 (창곡동)",031-722-5200,2026-03-04
수정구,위례 애플산부인과의원,의원,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 205-206호 (창곡동)",031-722-5680,2026-03-04
수정구,원데이항외과의원,의원,"경기도 성남시 수정구 산성대로 241, 비와이씨 2층 202호 (신흥동)",031-753-7577,2026-03-04
수정구,류마퍼스트내과의원,의원,"경기도 성남시 수정구 위례광장로 9-9, 남위례역 푸르지오 시티 206,207호 (창곡동)",031-723-8875,2026-03-04
수정구,위례닥터스피부과의원,의원,"경기도 성남시 수정구 위례광장로 320, 아이에스센트럴타워 403~405호 (창곡동)",031-754-7975,2026-03-04
수정구,경희한마음한의원,한의원,"경기도 성남시 수정구 청계산로1길 27, 2층 202,203호 (고등동)",031-778-6719,2026-03-04
수정구,백세온담한의원,한의원,"경기도 성남시 수정구 산성대로 247, 2층 (신흥동)",031-8039-7571,2026-03-04
수정구,바로고침한의원,한의원,"경기도 성남시 수정구 청계산로 689, 301호 (고등동)",031-758-9182,2026-03-04
수정구,바른힐정형외과의원,의원,"경기도 성남시 수정구 수정로 106, 수진동 SR프라자 8,9층 (수진동)",031-606-8888,2026-03-04
수정구,양지바른정형외과의원,의원,"경기도 성남시 수정구 산성대로 531, 6,7층 (양지동)",031-608-0123,2026-03-04
수정구,유픽의원,의원,"경기도 성남시 수정구 위례광장로 104, 위례 한화 오벨리스크 센트럴스퀘어 2259,2260,2261호 (창곡동)",031-625-5896,2026-03-04
수정구,연세솔내과의원,의원,"경기도 성남시 수정구 산성대로 223, 일문파이낸스빌딩 5층 (신흥동)",031-602-0500,2026-03-04
수정구,여름안과의원,의원,"경기도 성남시 수정구 수정로 341, 산성역포레스티아아파트 동문상가동 301,302호 (신흥동)",031-731-1760,2026-03-04
수정구,서울아산센트럴치과의원,치과의원,"경기도 성남시 수정구 산성대로 531, 4,5층 (양지동)",031-747-2080,2026-03-04
수정구,연세돋음의원,의원,"경기도 성남시 수정구 위례동로 153, 에이플타워 706호 (창곡동)",031-605-0341,2026-03-04
수정구,바른몸위례한의원,한의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 B동 201호 (창곡동)",031-751-1070,2026-03-04
수정구,위례편한정신건강의학과의원,의원,"경기도 성남시 수정구 위례광장로 320, 아이에스센트럴타워 201호 (창곡동)",031-723-5831,2026-03-04
수정구,이안정형외과의원,의원,"경기도 성남시 수정구 산성대로 305, 219-224호 (신흥동, 삼부르네상스파크Ⅱ)",031-698-4151,2026-03-04
수정구,위례서울소아청소년과의원,의원,"경기도 성남시 수정구 위례동로 135-6, 이너매스 위례 401호 (창곡동)",031-606-7001,2026-03-04
수정구,발란체한의원,한의원,"경기도 성남시 수정구 위례광장로 21, 가하빌딩 203,204호 (창곡동)",031-751-0141,2026-03-04
수정구,오아로피부과의원,의원,"경기도 성남시 수정구 산성대로 267, 223-230호 (신흥동)",031-749-5151,2026-03-04
수정구,초이스의원,의원,"경기도 성남시 수정구 창업로 17, F동 304호 (시흥동)",031-722-0333,2026-03-04
수정구,위례성형외과의원,의원,"경기도 성남시 수정구 위례서일로 22, 이너매스우남 709호 (창곡동)",031-721-0706,2026-03-04
수정구,고요의원,의원,"경기도 성남시 수정구 수정로 291, 산성역포레스티아아파트 503,508호 (신흥동)",031-698-2768,2026-03-04
수정구,경희황경화한의원,한의원,"경기도 성남시 수정구 위례광장로 104, 위례 한화 오벨리스크 센트럴스퀘어 2257,2258호 (창곡동)",031-756-3006,2026-03-04
수정구,더한스피부과의원,의원,"경기도 성남시 수정구 수정로 69, 대명빌딩 2,4층 (태평동)",031-605-7579,2026-03-04
수정구,해소담한의원,한의원,"경기도 성남시 수정구 창업로 17, F동 301호 (시흥동)",031-604-7775,2026-03-04
수정구,위례우주한의원,한의원,"경기도 성남시 수정구 위례광장로 19, 아이페리온 409호 (창곡동)",031-756-9386,2026-03-04
수정구,서울룬치과의원,치과의원,"경기도 성남시 수정구 수정로 170, 2,3층 (신흥동)",031-697-8875,2026-03-04
수정구,신흥미치과의원,치과의원,"경기도 성남시 수정구 산성대로 305, 201,202,225호 (신흥동, 삼부르네상스파크Ⅱ)",031-722-2275,2026-03-04
수정구,위례아이디의원,의원,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 3층 302-304호 (창곡동)",031-608-0645,2026-03-04
수정구,이스턴치과교정과치과의원,치과의원,"경기도 성남시 수정구 산성대로295번길 1, 5층 (신흥동)",031-736-2276,2026-03-04
수정구,태평가이드치과의원,치과의원,"경기도 성남시 수정구 수정로 118, 나눔빌딩 5층 (수진동)",031-751-7528,2026-03-04
수정구,위례마음의원,의원,"경기도 성남시 수정구 위례광장로 300, 3층 312,334,335호 (창곡동)",031-756-9993,2026-03-04
수정구,윤사랑외과의원,의원,"경기도 성남시 수정구 산성대로295번길 1, 3층 (신흥동)",031-741-1020,2026-03-04
수정구,신통의원,의원,"경기도 성남시 수정구 산성대로 259, 2층 (신흥동)",031-741-0064,2026-03-04
수정구,서울마디튼튼재활의학과의원,의원,"경기도 성남시 수정구 수정로 291, 산성역포레스티아아파트 4층 401~404,408호 (신흥동)",031-778-7177,2026-03-04
수정구,아폴로신경외과의원,의원,"경기도 성남시 수정구 창업로 18, 3층 302호 (시흥동)",031-756-7567,2026-03-04
수정구,미래로마취통증의학과의원,의원,"경기도 성남시 수정구 산성대로 537, 1,2,5층 (양지동)",031-733-7575,2026-03-04
수정구,삼성탑내과의원,의원,"경기도 성남시 수정구 산성대로 267, 411~419호, 426호 (신흥동)",031-745-8875,2026-03-04
수정구,좋은산부인과의원,의원,"경기도 성남시 수정구 위례동로 153, 에이플타워 5층 509호 (창곡동)",031-753-5793,2026-03-04
수정구,아폴로헬스케어의원,의원,"경기도 성남시 수정구 창업로 18, 3층 303,304호 (시흥동)",031-756-2090,2026-03-04
수정구,새별한의원,한의원,"경기도 성남시 수정구 수정로 130, 창도빌딩 4층 일부 (수진동)",031-756-0782,2026-03-04
수정구,아폴로치과의원,치과의원,"경기도 성남시 수정구 창업로 18, 3층 306호 (시흥동)",031-722-0428,2026-03-04
수정구,아이편한소아치과의원,치과의원,"경기도 성남시 수정구 산성대로 267, 501, 502, 535호 (신흥동)",031-604-2888,2026-03-04
수정구,서울에스(S)퍼스트치과의원,치과의원,"경기도 성남시 수정구 수정로 131, 2층 203호 (태평동, 낙원스카이뷰)",031-721-2879,2026-03-04
수정구,탑플란트치과의원,치과의원,"경기도 성남시 수정구 수정로 200, 3층 (신흥동)",031-751-2080,2026-03-04
수정구,서울진정신건강의학과의원,의원,"경기도 성남시 수정구 성남대로 1342, 가천대학교 지하2,3층 308호 (복정동)",031-607-8839,2026-03-04
수정구,성남센트럴안과의원,의원,"경기도 성남시 수정구 산성대로 267, 401~405,432~435호 (신흥동)",031-748-7779,2026-03-04
수정구,서울에스(S)치과교정과치과의원,치과의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 702,703호 (창곡동)",031-759-2285,2026-03-04
수정구,김이경소아청소년과의원,의원,"경기도 성남시 수정구 청계산로 689, 3층 302호 (고등동)",031-8039-5480,2026-03-04
수정구,서울진내과의원,의원,"경기도 성남시 수정구 제일로 157, 2층 (수진동)",031-721-9888,2026-03-04
수정구,성남태평메이퓨어의원,의원,"경기도 성남시 수정구 수정로 174, 진영빌딩 5층 501호 (신흥동)",031-757-3363,2026-03-04
수정구,고등퍼스트치과의원,치과의원,"경기도 성남시 수정구 고등로 4, 고산빌딩 3층 301-303호 (고등동)",031-603-7522,2026-03-04
수정구,산성지음한의원,한의원,"경기도 성남시 수정구 수정로 341, 상가 2동 4층 405,406호 (신흥동)",031-742-2277,2026-03-04
수정구,서울삼성치과의원,치과의원,"경기도 성남시 수정구 위례광장로 300, 중앙타워 804호 (창곡동)",031-625-6100,2026-03-04
수정구,위례탑내과의원,의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 501,502호 (창곡동)",031-602-7681,2026-03-04
수정구,베스트내과의원,의원,"경기도 성남시 수정구 수정로 174, 진영빌딩 301호 (신흥동)",031-755-7542,2026-03-04
수정구,에버의원,의원,"경기도 성남시 수정구 수정로119번길 12-1, 1층 (태평동)",031-757-4607,2026-03-04
수정구,위례삼성정신건강의학과의원,의원,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 8층 803호 (창곡동)",031-757-8575,2026-03-04
수정구,서울더블유(W)내과의원,의원,"경기도 성남시 수정구 수정로 291, 상가1동 108,109,112호 (신흥동)",031-746-7588,2026-03-04
수정구,서울좋은소아청소년과의원,의원,"경기도 성남시 수정구 수정로 291, 상가1동 301호(일부)호 (신흥동)",031-778-6429,2026-03-04
수정구,경희유진한의원,한의원,"경기도 성남시 수정구 수정로 291, 상가1동  303호 (신흥동)",031-8039-7510,2026-03-04
수정구,소망플란트치과의원,치과의원,"경기도 성남시 수정구 수정로 341, 상가2동 3층 303,304호 (신흥동)",031-744-2080,2026-03-04
수정구,더맑은이비인후과의원,의원,"경기도 성남시 수정구 수정로 291, 상가1동 3층 302호 (신흥동)",031-733-5002,2026-03-04
수정구,서울산성플란트치과의원,치과의원,"경기도 성남시 수정구 수정로 291, 상가 1동 3층 301호 (신흥동)",031-745-2888,2026-03-04
수정구,경희건강한의원,한의원,"경기도 성남시 수정구 산성대로 517, 102호 (양지동)",031-8039-5002,2026-03-04
수정구,원탑성형외과의원,의원,"경기도 성남시 수정구 산성대로 267, 5층 525호~529호 (신흥동)",031-734-7588,2026-03-04
수정구,서울유이비인후과의원,의원,"경기도 성남시 수정구 산성대로 439, 3층 일부호 (단대동)",031-742-8383,2026-03-04
수정구,이지은산부인과의원,의원,"경기도 성남시 수정구 산성대로 259, 3층 일부호 (신흥동)",031-743-7070,2026-03-04
수정구,오렌지한의원,한의원,"경기도 성남시 수정구 수정북로 31, 1층 일부 (태평동)",031-757-5565,2026-03-04
수정구,365서울바른신경외과의원,의원,"경기도 성남시 수정구 수정로 174, 진영빌딩 2층 (신흥동)",031-758-7975,2026-03-04
수정구,서울위례산부인과의원,의원,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 10층 1002호 (창곡동)",031-758-7001,2026-03-04
수정구,미소더함치과교정과치과의원,치과의원,"경기도 성남시 수정구 산성대로 267, 신흥역시네마타워 4층 406호~409호 (신흥동)",031-602-2228,2026-03-04
수정구,삼성힐재활의학과의원,의원,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 509,601,613~617,620호 (창곡동)",031-625-3375,2026-03-04
수정구,서울민플란트치과의원,치과의원,"경기도 성남시 수정구 수정로 69, 대명빌딩 5층 (태평동)",031-606-2800,2026-03-04
수정구,연세웰키즈치과의원,치과의원,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 7층 705호 (창곡동)",031-722-2528,2026-03-04
수정구,최피부과의원,의원,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 3층 306호 (창곡동)",031-721-1777,2026-03-04
수정구,이지마취통증의학과 의원,의원,"경기도 성남시 수정구 수정로 69, 대명빌딩 6층 (태평동)",031-721-8877,2026-03-04
수정구,태평참이비인후과의원,의원,"경기도 성남시 수정구 수정로 69, 대명빌딩 3층 (태평동)",031-757-2645,2026-03-04
수정구,아이자람어린이치과의원,치과의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 410호 (창곡동)",031-752-0428,2026-03-04
수정구,성남키즈소아청소년과의원,의원,"경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 5층 518,519호 (신흥동)",031-732-0303,2026-03-04
수정구,밝은성모안과의원,의원,"경기도 성남시 수정구 산성대로 247, 10층 (신흥동)",031-743-3337,2026-03-04
수정구,소망소아청소년과의원,의원,"경기도 성남시 수정구 위례광장로 19, 아이페리온 3층 306호 (창곡동)",031-749-2585,2026-03-04
수정구,위례조은치과의원,치과의원,"경기도 성남시 수정구 위례서일로 18, 더존메디컬타워 3층 306호 (창곡동)",031-754-2277,2026-03-04
수정구,원이비인후과의원,의원,"경기도 성남시 수정구 위례광장로 19, 아이페리온 4층 407호 (창곡동)",031-7152119,2026-03-04
수정구,로얄의원,의원,"경기도 성남시 수정구 산성대로 439, 영인빌딩 3층 301호 (단대동)",031-746-8800,2026-03-04
수정구,위례스마일치과의원,치과의원,"경기도 성남시 수정구 위례동로 147, 위례건아타워 3층 304호 (창곡동)",031-721-5525,2026-03-04
수정구,이동훈연세정형외과의원,의원,"경기도 성남시 수정구 위례서일로 10, 슈퍼스타타워 3층일부∼5층 (창곡동)",031-626-0011,2026-03-04
수정구,에이덴치과의원,치과의원,"경기도 성남시 수정구 위례광장로 9-9, 위례우남역 퍼스트푸르지오시티 3층 323호 (창곡동)",031-721-2828,2026-03-04
수정구,연세모두치과교정과치과의원,치과의원,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 7층 703호 (창곡동)",031-755-3008,2026-03-04
수정구,웰스킨의원,의원,"경기도 성남시 수정구 위례광장로 104, 위례 한화오벨리스크 센트럴스퀘어 2층 2245호 (창곡동)",031-758-2008,2026-03-04
수정구,위례맑음치과의원,치과의원,"경기도 성남시 수정구 위례광장로 328, 우성위례타워 3층 301호 (창곡동)",031-608-7528,2026-03-04
수정구,위례경희한의원,한의원,"경기도 성남시 수정구 위례광장로 328, 우성위례타워 2층 205호 (창곡동)",031-751-8855,2026-03-04
수정구,제이덴치과의원,치과의원,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 9층 901호 (창곡동)",031-722-2875,2026-03-04
수정구,다인한의원,한의원,"경기도 성남시 수정구 수정로 175-1, 1층 (태평동)",031-8039-7577,2026-03-04
수정구,선재한의원,한의원,"경기도 성남시 수정구 남문로69번길 5-6, 2층 (태평동)",031-705-0881,2026-03-04
수정구,위례하늘애한의원,한의원,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 4층 401호 (창곡동)",031-602-7582,2026-03-04
수정구,초이스성남복음의원,의원,"경기도 성남시 수정구 수정로 130, 창도빌딩 3층 (수진동)",031-701-9753,2026-03-04
수정구,연세와이엘의원,의원,"경기도 성남시 수정구 위례동로 147, 위례건아타워 11층 1103호,1104호 (창곡동)",031-758-8026,2026-03-04
수정구,김동현한의원,한의원,"경기도 성남시 수정구 위례서일로 34, 우남역 성희프라자 6층 608호 (창곡동)",031-723-8585,2026-03-04
수정구,위례 리더스피부과의원,의원,"경기도 성남시 수정구 위례광장로 300, 8층 801호 (창곡동)",031-756-9600,2026-03-04
수정구,서울플란트치과의원,치과의원,"경기도 성남시 수정구 위례서일로 34, 6층 606호 (창곡동)",031-752-3815,2026-03-04
수정구,아이작성형외과의원,의원,"경기도 성남시 수정구 위례광장로 300, 9층 907호 (창곡동)",031-758-3050,2026-03-04
수정구,위례편한치과의원,치과의원,"경기도 성남시 수정구 위례광장로 19, 4층 413호 (창곡동)",031-722-2872,2026-03-04
수정구,경희중앙한의원,한의원,"경기도 성남시 수정구 위례광장로 300, 7층 708호 (창곡동, 위례중앙역중앙타워)",031-722-0309,2026-03-04
수정구,위례좋은치과의원,치과의원,"경기도 성남시 수정구 위례동로 153, 6층 606, 607호 (창곡동, 에이플타워)",031-722-2754,2026-03-04
수정구,열린서울내과의원,의원,"경기도 성남시 수정구 위례서일로 34, 5층 504호 (창곡동, 우남역성희프라자)",031-757-3106,2026-03-04
수정구,연세케이(K)플란트치과의원,치과의원,"경기도 성남시 수정구 위례광장로 5, 3층 307호 (창곡동, 위례우남역아이파크)",031-754-2822,2026-03-04
수정구,서울밝은미소치과의원,치과의원,"경기도 성남시 수정구 위례광장로 300, 7층 717호 (창곡동, 위례중앙역중앙타워)",031-755-2279,2026-03-04
수정구,성남청담한의원,한의원,"경기도 성남시 수정구 수정로 80, 105-106호 (수진동, 우리빌)",031-754-7800,2026-03-04
수정구,스칸디경희한의원,한의원,"경기도 성남시 수정구 위례순환로 130, 2단지상가동 2층 201호 (창곡동, 아트리버푸르지오)",031-757-5058,2026-03-04
수정구,위례바른이(e)치과의원,치과의원,"경기도 성남시 수정구 위례동로 153, 3층 305, 306호 (창곡동, 에이플타워)",031-721-2829,2026-03-04
수정구,위례연세정신건강의학과의원,의원,"경기도 성남시 수정구 위례광장로 310, A동 5층 508호 (창곡동, 우성트램타워)",031-758-7508,2026-03-04
수정구,성모튼튼마취통증의학과의원,의원,"경기도 성남시 수정구 위례광장로 300, 7층 701호 (창곡동, 위례중앙역중앙타워)",031-754-8875,2026-03-04
수정구,라뷰티의원(LA BEAUTY),의원,"경기도 성남시 수정구 위례광장로 300, 7층 704호 (창곡동, 위례중앙역중앙타워)",031-759-2337,2026-03-04
수정구,더나은내과의원,의원,"경기도 성남시 수정구 산성대로 439, 4층 (단대동)",031-744-3339,2026-03-04
수정구,위례아산내과의원,의원,"경기도 성남시 수정구 위례광장로 300, 8층 807호 (창곡동, 위례중앙역중앙타워)",031-751-1575,2026-03-04
수정구,다온정형외과의원,의원,"경기도 성남시 수정구 산성대로 439, 5, 6층 (단대동)",031-746-8275,2026-03-04
수정구,서울허브치과의원,치과의원,"경기도 성남시 수정구 산성대로 439, 2층 202호 (단대동)",031-735-2275,2026-03-04
수정구,위례베스트의원,의원,"경기도 성남시 수정구 위례광장로 19, 5층 507호 (창곡동, 아이페리온)",031-757-9112,2026-03-04
수정구,연세인의원,의원,"경기도 성남시 수정구 수정로 163, 영성빌딩 2층 (태평동)",031-751-8278,2026-03-04
수정구,소예의원,의원,"경기도 성남시 수정구 위례광장로 310, A동 4층 405, 406호 (창곡동, 우성트램타워)",031-757-0867,2026-03-04
수정구,다나움의원,의원,"경기도 성남시 수정구 수정로 174, 4층 (신흥동, 효산빌딩)",031-754-7100,2026-03-04
수정구,선한이웃가정의원,의원,"경기도 성남시 수정구 수정로 59, 2층 (태평동)",031-734-7587,2026-03-04
수정구,사랑한의원,한의원,"경기도 성남시 수정구 위례광장로 310, B동 5층 503호 (창곡동, 우성트램타워)",031-759-9182,2026-03-04
수정구,바라봄피부과의원,의원,"경기도 성남시 수정구 위례동로 153, 에이플타워 5층 501,502,503,504호 (창곡동)",031-778-7582,2026-03-04
수정구,위례명인한의원,한의원,"경기도 성남시 수정구 위례광장로 310, 609호 (창곡동, 우성트램타워)",031-757-7975,2026-03-04
수정구,우리샘치과의원,치과의원,"경기도 성남시 수정구 위례광장로 320, 5층 506,507호 (창곡동, 아이에스센트럴타워)",031-605-2087,2026-03-04
수정구,경희하늘맘한의원,한의원,"경기도 성남시 수정구 위례동로 141, 4층 405호 (창곡동, 우성메디피아)",031-757-2080,2026-03-04
수정구,위례바른한의원,한의원,"경기도 성남시 수정구 위례광장로 322, 3층 303호 (창곡동, 아이플렉스)",031-723-8575,2026-03-04
수정구,성남타임치과의원,치과의원,"경기도 성남시 수정구 산성대로 529-1, 2층 (양지동)",031-603-2080,2026-03-04
